ID_Profesor;FacultyQualificationSA_PA_SP_IP;UnidadAcademica;Sexo;Nacionalidad
238;IP;PROFESOR INTERNO;MASCULINO;CHILENA
239;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
240;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
241;IP;PROFESOR INTERNO;FEMENINO;CHILENA
242;SIN CALIFICACION;PROFESOR PARTIME;FEMENINO;CHILENA
243;O;PROFESOR INTERNO;FEMENINO;CHILENA
244;O;PROFESOR INTERNO;FEMENINO;CHILENA
245;IP;PROFESOR INTERNO;MASCULINO;CHILENA
246;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
247;IP;PROFESOR INTERNO;MASCULINO;CHILENA
248;O;PROFESOR INTERNO;FEMENINO;CHILENA
249;O;PROFESOR INTERNO;MASCULINO;DESCONOCIDA
250;O;PROFESOR INTERNO;MASCULINO;CHILENA
251;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
252;IP;PROFESOR INTERNO;MASCULINO;CHILENA
253;IP;PROFESOR INTERNO;MASCULINO;CHILENA
254;IP;PROFESOR INTERNO;MASCULINO;CHILENA
255;SA;PROFESOR INTERNO;MASCULINO;CHILENA
256;IP;PROFESOR INTERNO;MASCULINO;CHILENA
257;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
258;IP;PROFESOR INTERNO;MASCULINO;CHILENA
259;IP;PROFESOR INTERNO;MASCULINO;CHILENA
260;SA;PROFESOR INTERNO;MASCULINO;CHILENA
261;PA;PROFESOR INTERNO;FEMENINO;CHILENA
262;IP;PROFESOR INTERNO;MASCULINO;CHILENA
263;IP;PROFESOR INTERNO;MASCULINO;DESCONOCIDA
264;SA;PROFESOR INTERNO;MASCULINO;CHILENA
265;SA;PROFESOR INTERNO;MASCULINO;CHILENA
266;SA;PROFESOR INTERNO;FEMENINO;CHILENA
267;SA;PROFESOR INTERNO;MASCULINO;CHILENA
268;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
269;SA;PROFESOR INTERNO;MASCULINO;CHILENA
270;PA;PROFESOR INTERNO;MASCULINO;CHILENA
271;IP;PROFESOR INTERNO;FEMENINO;DESCONOCIDA
272;IP;PROFESOR INTERNO;FEMENINO;CHILENA
273;IP;PROFESOR INTERNO;MASCULINO;CHILENA
274;SA;PROFESOR INTERNO;MASCULINO;CHILENA
275;SA;PROFESOR INTERNO;FEMENINO;CHILENA
276;IP;PROFESOR INTERNO;MASCULINO;CHILENA
277;IP;PROFESOR INTERNO;FEMENINO;CHILENA
278;SA;PROFESOR INTERNO;MASCULINO;CHILENA
279;IP;PROFESOR INTERNO;FEMENINO;CHILENA
280;IP;PROFESOR INTERNO;FEMENINO;DESCONOCIDA
281;IP;PROFESOR INTERNO;FEMENINO;CHILENA
282;IP;PROFESOR INTERNO;FEMENINO;DESCONOCIDA
283;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;DESCONOCIDA
284;SIN CALIFICACION;PROFESOR PARTIME;FEMENINO;DESCONOCIDA
285;IP;PROFESOR INTERNO;FEMENINO;ARGENTINA
286;PA;PROFESOR INTERNO;FEMENINO;DESCONOCIDA
287;O;PROFESOR INTERNO;MASCULINO;DESCONOCIDA
288;SA;PROFESOR INTERNO;FEMENINO;DESCONOCIDA
289;SIN CALIFICACION;PROFESOR PARTIME;FEMENINO;CHILENA
290;SIN DATOS;PROFESOR INTERNO;FEMENINO;CHILENA
291;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
292;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
293;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
294;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
295;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
296;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
297;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
298;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
299;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
300;SIN CALIFICACION;PROFESOR PARTIME;FEMENINO;CHILENA
301;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
302;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
303;SIN CALIFICACION;PROFESOR PARTIME;FEMENINO;CHILENA
304;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
305;IP;PROFESOR INTERNO;MASCULINO;CHILENA
306;SA;PROFESOR INTERNO;FEMENINO;CHILENA
307;SA;PROFESOR INTERNO;FEMENINO;CHILENA
308;PA;PROFESOR INTERNO;MASCULINO;CHILENA
309;SIN CALIFICACION;PROFESOR PARTIME;FEMENINO;CHILENA
310;PA;PROFESOR INTERNO;MASCULINO;CHILENA
311;PA;PROFESOR INTERNO;MASCULINO;CHILENA
312;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
313;IP;PROFESOR INTERNO;MASCULINO;CHILENA
314;PA;PROFESOR INTERNO;MASCULINO;CHILENA
315;SA;PROFESOR INTERNO;MASCULINO;CHILENA
316;IP;PROFESOR INTERNO;MASCULINO;CHILENA
