SI FULL,sobre_60,sobre_90,seleable
19133,"0,1236","0,0668","0,931"
22385,"0,1251","0,0669","0,9213"
27830,"0,1254","0,0671","0,9292"
26962,"0,1248","0,0682","0,9376"
27501,"0,1188","0,0658","0,9384"
26173,"0,1188","0,0658","0,9837"
16170,"0,1188","0,0658","1,0066"
14702,"0,1188","0,0658","1,0215"
15333,"0,1188","0,0658","1,037"
19095,"0,1059","0,0604","0,935"
23428,"0,1026","0,0585","0,9429"
26652,"0,099","0,0578","0,943"
25182,"0,0958","0,0553","0,9482"
24091,"0,094","0,0547","0,9414"
18498,"0,0938","0,0537","0,938"
20129,"0,0968","0,0531","0,9326"
26948,"0,0997","0,0537","0,9382"
26998,"0,0992","0,0536","0,9449"
26867,"0,0988","0,0542","0,9482"
28551,"0,0938","0,0526","0,947"
22750,"0,0929","0,0524","0,9473"
19804,"0,0917","0,0514","0,94"
24031,"0,0942","0,0512","0,9337"
27545,"0,0959","0,0507","0,9356"
26832,"0,0965","0,0501","0,9452"
26573,"0,0917","0,0575","0,9486"
26991,"0,0908","0,0562","0,9484"
22401,"0,0886","0,055","0,9466"
17802,"0,0878","0,0542","0,9498"
23563,"0,0894","0,0536","0,9386"
27740,"0,0916","0,055","0,9465"
25873,"0,0926","0,054","0,9482"
24101,"0,0907","0,0529","0,9533"
19067,"0,0895","0,0524","0,9608"
21337,"0,0877","0,0512","0,9584"
17071,"0,0891","0,0505","0,9539"
19713,"0,0933","0,0515","0,9462"
26587,"0,0982","0,0521","0,9548"
27359,"0,0979","0,051","0,9585"
26239,"0,098","0,0497","0,9638"
23847,"0,0968","0,049","0,966"
20679,"0,0969","0,0493","0,9639"
16496,"0,1","0,0494","0,9627"
20589,"0,1029","0,0494","0,9462"
30061,"0,1073","0,0496","0,9602"
27350,"0,1084","0,0506","0,9637"
28020,"0,1106","0,0506","0,9642"
26596,"0,1126","0,0501","0,9656"
25704,"0,1158","0,0506","0,9622"
20188,"0,1157","0,0505","0,9595"
25196,"0,1156","0,0505","0,9537"
31874,"0,1159","0,0506","0,9577"
35770,"0,1155","0,0516","0,9544"
34101,"0,1156","0,0519","0,9562"
31594,"0,1163","0,0528","0,9561"
25785,"0,1171","0,0526","0,9528"
17901,"0,1179","0,0544","0,9525"
24079,"0,1236","0,0545","0,946"
29668,"0,1276","0,054","0,9502"
30703,"0,1269","0,0539","0,9539"
30939,"0,1257","0,0535","0,9536"
29672,"0,1236","0,0542","0,9556"
25589,"0,1235","0,0542","0,9538"
18344,"0,1263","0,0551","0,9543"
26891,"0,1328","0,0555","0,9481"
30588,"0,1379","0,057","0,9549"
30892,"0,144","0,0589","0,957"
29929,"0,1428","0,0593","0,957"
28685,"0,1423","0,0599","0,9606"
22798,"0,1447","0,0612","0,9593"
17847,"0,1476","0,0615","0,9605"
23056,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!
28705,"0,1616","0,0647","0,957"
30922,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!
31453,"0,1637","0,0657","0,9562"
29315,"0,1646","0,0668","0,961"
24755,"0,1649","0,0693","0,9634"
19637,"0,1667","0,0718","0,961"
26135,"0,1759","0,0747","0,9581"
38962,"0,1823","0,0738","0,9589"
40567,"0,1905","0,0731","0,9581"
41921,"0,1936","0,0728","0,9554"
40741,"0,1952","0,0733","0,9573"
30829,"0,1973","0,0747","0,9537"
23967,"0,2007","0,0759","0,9515"
30740,"0,2071","0,0776","0,9421"
34117,"0,2238","0,0795","0,953"
32210,"0,2267","0,0807","0,9532"
32708,"0,2274","0,0812","0,9526"
29743,"0,2247","0,0811","0,9562"
22911,"0,2236","0,082","0,957"
